restaurant name,restaurant type,rate (out of 5),Average Customer Per Week,avg cost (two people),online_order,table booking,cuisines type,local address,Average income per Week
Al Diwan Biryanis And More,"Takeaway, Delivery",3.2,12,300.0,True,False,Biryani,Basavanagudi,3600.0
Al Ghani Resetaurant,Quick Bites,3.3,4,400.0,False,False,"Mughlai, Biryani",Kammanahalli,1600.0
Al Habibi Restaurant,Quick Bites,3.5,17,300.0,True,False,"North Indian, Chinese",BTM,5100.0
Al Hayath,Quick Bites,3.5,16,200.0,False,False,"North Indian, Chinese",BTM,3200.0
Al Hayath Ambur Biryani,Quick Bites,3.3,9,200.0,False,False,Biryani,Ejipura,1800.0
Al Karim,Casual Dining,3.7,90,,False,False,"Mughlai, North Indian, Biryani, Chinese",Kalyan Nagar,
Al Khaleej Snacks Corner,Quick Bites,2.8,40,200.0,False,False,"Lebanese, Fast Food, Beverages",Jayanagar,8000.0
Al Khansah,Casual Dining,3.9,370,550.0,True,False,"Biryani, Mughlai, Chinese, North Indian, Kebab",Bellandur,203500.0
Al Khwaja,Casual Dining,3.0,13,400.0,False,False,"North Indian, Chinese",Bellandur,5200.0
Al Madhina Roll House,Quick Bites,3.4,6,300.0,False,False,"North Indian, Chinese",Kalyan Nagar,1800.0
Al Madina Family Restaurant,Quick Bites,2.8,40,500.0,False,False,"North Indian, South Indian, Arabian",City Market,20000.0
Al Madina Roll House,Quick Bites,3.6,16,150.0,True,False,Biryani,Kalyan Nagar,2400.0
Al Manar,Quick Bites,2.8,40,400.0,False,False,"South Indian, North Indian, Chinese",Wilson Garden,16000.0
Al Noor,Quick Bites,3.7,21,350.0,False,False,"North Indian, Chinese, Arabian, Rolls",Shivajinagar,7350.0
Al Sadique,Quick Bites,3.9,185,450.0,True,False,"North Indian, Mughlai, Chinese, Rolls",Magadi Road,83250.0
Al Sadique Restaurant,Quick Bites,3.4,32,350.0,False,False,"Mughlai, North Indian, Street Food",Frazer Town,11200.0
Al Swaad Take Away,Quick Bites,3.1,12,350.0,True,False,"North Indian, South Indian, Arabian",Richmond Road,4200.0
Al Taj Fast Food,Quick Bites,3.2,4,600.0,True,False,"Fast Food, North Indian, South Indian, Chinese",Vijay Nagar,2400.0
Al Zaiqa Hotel,Quick Bites,3.4,14,200.0,True,False,"Chinese, South Indian, Fast Food",Marathahalli,2800.0
Alampur Bar And Restaurant,Casual Dining,3.7,42,900.0,True,False,"Chinese, South Indian, North Indian",Race Course Road,37800.0
